,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,mean
rtn_120,0.0,0.22268568,4.074491,0.11455915,18.078222,98.468765,0.15664469,17.28696,0.15980823,0.115861624,0.14979455,0.14049952,0.0041194023,0.09699937,0.029254898,92.323326,65.73959,0.18716915,7.4078264,0.14060439,0.0,6.7811594,10.158792,0.12774746,0.0,12.878595
rtn_80,0.1314849,0.11147743,0.12425485,0.021552434,12.114886,0.073039085,0.041299462,0.0054801274,0.15000254,0.11347026,74.1877,0.024464492,38.861,0.15798874,0.16429242,0.20237848,63.017567,0.09091094,43.491486,12.054963,81.77453,0.0003126226,0.012079619,0.09868056,0.053504337,13.083152
rtn_220,73.175026,0.028091375,0.06779902,0.15487826,1.2799249,0.15533637,0.12859067,0.0388533,0.0,99.99999,0.0608131,6.3911706e-05,0.0,0.14810918,74.79414,0.09078985,0.17203785,100.0,0.2206108,0.20157911,0.14510372,0.033592362,0.53663194,38.25807,0.042412322,15.589297
rtn_1,0.1306366,0.123688035,0.04823719,7.1030684,8.524438,0.18265541,0.074163795,0.10887193,0.14557736,38.38667,1.8964815,79.92213,0.022921871,0.114380606,10.683485,0.016254552,93.01561,78.62863,64.126785,45.916348,0.21765627,0.12849483,0.0870266,0.12719342,0.0230864,17.190178
rtn_9,0.021400817,0.1393436,0.18623637,57.49707,0.112081535,0.22305278,0.16189395,0.14716464,0.05749404,0.18533655,0.29654092,35.14341,0.06998443,23.15358,74.6863,8.795939,0.3574264,12.80138,70.28137,56.118732,0.009407908,58.491142,38.6213,0.0,0.09804361,17.506227
rtn_2,5.2687516,79.553734,78.90159,0.1611626,0.13968596,20.437326,9.655642,6.7669463,0.13712747,60.78919,5.489979,40.26263,55.346004,0.11804856,0.16518912,0.17757837,0.13722038,75.308365,0.09692998,0.21136948,0.1839857,0.114017725,0.094541155,0.12910073,0.038410403,17.58738
rtn_240,55.24873,0.10126399,61.564137,0.066945195,58.503387,0.18493232,0.16244979,0.11620416,0.14946152,5.877557,38.11549,0.10233339,95.94907,0.016455164,0.011505057,53.991146,0.0,0.001227787,0.15653469,0.1561513,74.1323,0.0,4.5561028,0.09482913,0.024781194,17.97132
rtn_13,0.08047579,0.114004694,44.52399,55.731205,62.50831,0.14478528,0.12687677,0.076939866,0.1487742,90.8081,15.59238,0.17614253,0.05511065,0.044882905,0.1715675,0.16173041,0.07780218,39.466576,0.1258108,2.9222872,64.950165,71.32803,0.107414976,2.4243731,0.07827542,18.077843
rtn_160,0.37031934,66.194626,19.9778,5.5379553,89.37149,0.105631344,0.1278081,29.551983,0.032637864,0.15519232,13.9410305,80.33079,64.56435,0.09415736,0.1843481,26.817072,0.05478386,67.779465,0.025926739,0.0,0.032920204,0.15952146,2.6090794,0.007766659,0.046270005,18.722916
rtn_4,0.10773537,0.14057027,0.016592113,0.13232605,1.562684,0.18873367,0.0023862696,0.13477133,0.100941464,98.42265,76.85302,81.05776,0.08844864,27.38383,0.24696773,50.392414,89.37237,21.749546,0.11839381,0.95082676,26.609665,0.050172318,0.06758966,0.116478816,0.09935809,19.038652
rtn_15,0.034374986,0.11448226,0.048172817,0.12538095,7.880317,0.23956926,0.5259465,0.050811972,0.14878216,50.000835,85.97024,54.57402,0.2404467,57.859188,73.508545,20.843058,0.52848417,58.247032,0.017243326,65.02101,0.19748247,0.020569447,1.2774075,0.13141677,0.028132994,19.105316
rtn_60,0.11650451,0.09885236,0.0,0.187303,26.957773,0.17384137,0.1486916,0.014083102,0.12851827,72.88822,68.00095,0.161899,36.51066,80.16564,0.047628567,0.12589332,82.106316,0.0,0.0,0.027689414,0.19407657,33.169643,43.031456,0.12554157,73.97788,20.734365
rtn_3,0.034521304,0.14480048,0.09375039,0.11353082,0.08249939,94.462906,23.44818,0.12420512,11.187417,0.15207922,0.03840958,71.110344,67.53044,0.0,38.577316,0.07574699,0.17527033,55.17644,0.22925377,77.22687,0.025494507,0.07185412,88.03038,5.417273,0.059425723,21.343538
